placeid,latitude,longitude,the_geom_meter,name,address,city,state,country,fax,zip,alcohol,smoking_area,dress_code,accessibility,price,url,rambience,franchise,area,other_services,rcuisine
135109,18.921785,-99.235350,0101000020957F0000A6BF695F136F5AC1DADF87B205564A41,Paniroles,?,?,?,?,?,,Wine-Beer,not permitted,informal,no_accessibility,medium,?,quiet,f,closed,Internet,Italian
135106,22.149709,-100.976093,0101000020957F0000649D6F21634858C119AE9BF528A34B41,El Rinc�n de San Francisco,Universidad 169,San Luis Potosi,San Luis Potosi,Mexico,?,78000,Wine-Beer,only at bar,informal,partially,medium,?,familiar,f,open,none,Mexican
135104,23.752982,-99.168434,0101000020957F00007CDF5EAFC58157C1645743B23E4F4941,vips,?,?,?,?,?,,Full_Bar,not permitted,informal,completely,medium,?,familiar,t,closed,variety,Mexican
135088,18.876011,-99.219890,0101000020957F0000E14AD4DBC7765AC1F7B33C85B1534A41,Cafeteria cenidet,Interior Internado Palmira SN,Cuernavaca,Morelos,Mexico,?,,No_Alcohol_Served,not permitted,informal,no_accessibility,low,www.cenidet.edu.mx,quiet,f,closed,none,Cafeteria
135086,22.141421,-101.013955,0101000020957F0000FA1A0E5A9B4858C17C884C4173AE4B41,Mcdonalds Parque Tangamanga,Lateral Salvador Nava Martinez 3145,San Luis Potosi,SLP,Mexico,?,78290,No_Alcohol_Served,not permitted,informal,no_accessibility,medium,?,familiar,t,closed,none,Burgers
135086,22.141421,-101.013955,0101000020957F0000FA1A0E5A9B4858C17C884C4173AE4B41,Mcdonalds Parque Tangamanga,Lateral Salvador Nava Martinez 3145,San Luis Potosi,SLP,Mexico,?,78290,No_Alcohol_Served,not permitted,informal,no_accessibility,medium,?,familiar,t,closed,none,Fast_Food
135085,22.150802,-100.982680,0101000020957F00009F823DA6094858C18A2D4D37F9A44B41,Tortas Locas Hipocampo,Venustiano Carranza 719 Centro,San Luis Potosi,SLP,Mexico,?,78000,No_Alcohol_Served,not permitted,informal,no_accessibility,medium,?,familiar,f,closed,none,Fast_Food
135079,22.156376,-100.998355,0101000020957F00009FF49E27C04658C1BA8689941CA94B41,Koye Sushi,Nereo Rodriguez Barragan 450 E Centro,San Luis Potosi,SLP,Mexico,?,78000,No_Alcohol_Served,none,informal,no_accessibility,high,?,familiar,f,closed,none,Chinese
135075,22.139573,-100.991564,0101000020957F0000332AE8AF824958C15A4195A82CA84B41,Mariscos El Pescador,Himno Nacional 2104 Tangamanga,San Luis Potosi,SLP,Mexico,?,78269,No_Alcohol_Served,none,informal,no_accessibility,medium,?,familiar,f,closed,none,Seafood
135074,22.149689,-100.999525,0101000020957F0000CDA37BD8BD4758C1F4FBE3D2D7A94B41,Restaurante la Parroquia Potosina,Venustiano Carranza 303 Centro,San Luis Potosi,SLP,Mexico,?,78000,Wine-Beer,section,informal,no_accessibility,high,?,familiar,f,closed,none,Contemporary
135073,22.147175,-100.974269,0101000020957F0000D010A853D34858C116A1EA51CAA24B41,Restaurante Bar El Gallinero,Pascual M. Hernandez 210 Centro,San Luis Potosi,SLP,Mexico,?,78000,Wine-Beer,section,informal,no_accessibility,high,?,familiar,f,closed,none,Bar
135073,22.147175,-100.974269,0101000020957F0000D010A853D34858C116A1EA51CAA24B41,Restaurante Bar El Gallinero,Pascual M. Hernandez 210 Centro,San Luis Potosi,SLP,Mexico,?,78000,Wine-Beer,section,informal,no_accessibility,high,?,familiar,f,closed,none,Bar_Pub_Brewery
135072,22.149192,-101.002936,0101000020957F0000E7B79B1DB94758C1D29BC363D8AA4B41,Sushi Itto,Venustiano Carranza 1809 C Polanco,San Luis Potosi,SLP,Mexico,?,78220,No_Alcohol_Served,none,informal,no_accessibility,medium,sushi-itto.com.mx,familiar,f,closed,none,Japanese
135071,22.126375,-100.910926,0101000020957F0000E3A742BFC14D58C1F4E529A7F3914B41,Restaurante la Cantina,De La Estrella 2005 Estrella de Oriente,San Luis Potosi,SLP,Mexico,?,78396,Full_Bar,section,informal,no_accessibility,medium,?,familiar,f,closed,none,Bar
135071,22.126375,-100.910926,0101000020957F0000E3A742BFC14D58C1F4E529A7F3914B41,Restaurante la Cantina,De La Estrella 2005 Estrella de Oriente,San Luis Potosi,SLP,Mexico,?,78396,Full_Bar,section,informal,no_accessibility,medium,?,familiar,f,closed,none,Bar_Pub_Brewery
135069,22.140129,-100.944872,0101000020957F000038E5D546B74A58C18FD29AD0D29A4B41,Abondance Restaurante Bar,Industrias 908 Valle Dorado,San Luis Potosi,SLP,Mexico,?,78399,Wine-Beer,none,informal,no_accessibility,low,?,familiar,f,closed,none,Bar
135060,22.156883,-100.978485,0101000020957F00004C95C918394758C17A5C44896AA34B41,Restaurante Marisco Sam,Ignacio Allende 785 Centro,San Luis Potosi,SLP,Mexico,?,78310,No_Alcohol_Served,none,informal,no_accessibility,medium,?,familiar,f,closed,none,Seafood
135059,22.145108,-100.989547,0101000020957F000005810F19B84858C136805B2745A74B41,Restaurant Bar Hacienda los Martinez,Santos Degollado 745 los Alamitos,San Luis Potosi,SLP,Mexico,?,78250,Wine-Beer,section,informal,no_accessibility,medium,?,familiar,f,closed,none,Bar
135058,22.165587,-101.001273,0101000020957F0000EB71019D424558C15CC5404365A94B41,Restaurante Tiberius,Munoz Sn Centro,San Luis Potosi,SLP,Mexico,?,64000,No_Alcohol_Served,none,informal,no_accessibility,medium,?,familiar,t,closed,none,Pizzeria
135057,22.145992,-100.955118,0101000020957F000095669021894958C182C9C10E669D4B41,El Herradero Restaurante and Bar,Costado Sur Central Camionera Km 2,San Luis Potosi,SLP,Mexico,?,78390,Wine-Beer,section,informal,no_accessibility,medium,?,familiar,f,closed,none,Bar
135055,22.148854,-101.008472,0101000020957F00006610DA0F9F4758C12ED00BA771AC4B41,la Cochinita Pibil Restaurante Yucateco,Venustiano Carranza 2175 Jardin,San Luis Potosi,SLP,Mexico,?,78270,No_Alcohol_Served,section,informal,no_accessibility,high,?,familiar,f,closed,none,Mexican
135054,22.140626,-100.915657,0101000020957F000011E92CCE714B58C19BF8C0CA75924B41,Restaurante y Pescaderia Tampico,Ricardo B. Anaya 2700 Estrella de Oriente,San Luis Potosi,SLP,Mexico,?,78000S,No_Alcohol_Served,none,informal,no_accessibility,high,?,familiar,f,closed,none,Seafood
135053,22.178931,-101.012861,0101000020957F0000B3C05AB5E54258C180F99573E7AB4B41,La Fontana Pizza Restaurante and Cafe,Satelite 606 Satelite,San Luis Potosi,SLP,Mexico,?,62460,No_Alcohol_Served,section,informal,no_accessibility,high,?,familiar,f,closed,none,Cafeteria
135053,22.178931,-101.012861,0101000020957F0000B3C05AB5E54258C180F99573E7AB4B41,La Fontana Pizza Restaurante and Cafe,Satelite 606 Satelite,San Luis Potosi,SLP,Mexico,?,62460,No_Alcohol_Served,section,informal,no_accessibility,high,?,familiar,f,closed,none,Fast_Food
135053,22.178931,-101.012861,0101000020957F0000B3C05AB5E54258C180F99573E7AB4B41,La Fontana Pizza Restaurante and Cafe,Satelite 606 Satelite,San Luis Potosi,SLP,Mexico,?,62460,No_Alcohol_Served,section,informal,no_accessibility,high,?,familiar,f,closed,none,Pizzeria
135052,22.150981,-100.977412,0101000020957F0000B72147F1274858C189A406ED75A34B41,La Cantina Restaurante,Ignacio Aldama 300 Centro,San Luis Potosi,SLP,Mexico,?,78000,Full_Bar,none,informal,no_accessibility,high,lacantinaslp.com,familiar,f,closed,none,Bar
135052,22.150981,-100.977412,0101000020957F0000B72147F1274858C189A406ED75A34B41,La Cantina Restaurante,Ignacio Aldama 300 Centro,San Luis Potosi,SLP,Mexico,?,78000,Full_Bar,none,informal,no_accessibility,high,lacantinaslp.com,familiar,f,closed,none,Bar_Pub_Brewery
135049,22.135011,-101.028600,0101000020957F00005DAD35642E4958C11BBCDE4A02B34B41,Restaurante de Mariscos la Langosta,Cordillera de Los Alpes 675 Loma Verde,San Luis Potosi,SLP,Mexico,?,78214,No_Alcohol_Served,none,informal,no_accessibility,medium,?,familiar,f,closed,none,Seafood
135048,22.142017,-100.999246,0101000020957F00008032636EEC4858C16CDF265038AA4B41,Restaurante Bar Fu-hao,Jesus Goytortua 390 Tangamanga,San Luis Potosi,SLP,Mexico,?,78269,Wine-Beer,none,informal,no_accessibility,high,?,familiar,f,closed,none,Bar
135046,22.141282,-101.002958,0101000020957F000011DFB4E3EE4858C13F78758452AB4B41,Restaurante El Reyecito,Agricultura 595 del Valle,San Luis Potosi,SLP,Mexico,?,78200,No_Alcohol_Served,none,informal,no_accessibility,medium,reyecito.com,familiar,f,closed,none,Fast_Food
135044,22.141848,-100.997475,0101000020957F0000C8B62F9EFF4858C14FA6C296B9A94B41,Restaurant Wu Zhuo Yi,Himno Nacional 100 Avenida,San Luis Potosi,SLP,Mexico,?,78240,No_Alcohol_Served,none,informal,no_accessibility,medium,?,familiar,f,closed,none,Chinese
135043,22.185756,-100.944518,0101000020957F00006B9D7207BE4358C12419118D05984B41,pizza clasica,524 Soledad de Graciano Sanchez,Soledad,SLP,Mexico,?,,No_Alcohol_Served,none,informal,no_accessibility,medium,?,familiar,f,closed,none,Fast_Food
