Place ID,Latitude,Longitude,Name,Alcohol,Smoking,Dress Code,Accessibility,Price,Ambience,Area,Cuisine
135109,18.921785,-99.23535,Paniroles,Wine-Beer,not permitted,informal,no_accessibility,medium,quiet,closed,Italian
135106,22.149709,-100.976093,El Rinc�n de San Francisco,Wine-Beer,only at bar,informal,partially,medium,familiar,open,Mexican
135104,23.752982,-99.168434,vips,Full_Bar,not permitted,informal,completely,medium,familiar,closed,Mexican
135088,18.876011,-99.21989,Cafeteria cenidet,No_Alcohol_Served,not permitted,informal,no_accessibility,low,quiet,closed,Cafeteria
135086,22.141421,-101.013955,Mcdonalds Parque Tangamanga,No_Alcohol_Served,not permitted,informal,no_accessibility,medium,familiar,closed,Burgers
135086,22.141421,-101.013955,Mcdonalds Parque Tangamanga,No_Alcohol_Served,not permitted,informal,no_accessibility,medium,familiar,closed,Fast_Food
135085,22.150802,-100.98268,Tortas Locas Hipocampo,No_Alcohol_Served,not permitted,informal,no_accessibility,medium,familiar,closed,Fast_Food
135079,22.156376,-100.998355,Koye Sushi,No_Alcohol_Served,none,informal,no_accessibility,high,familiar,closed,Chinese
135075,22.139573,-100.991564,Mariscos El Pescador,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,closed,Seafood
135074,22.149689,-100.999525,Restaurante la Parroquia Potosina,Wine-Beer,section,informal,no_accessibility,high,familiar,closed,Contemporary
135073,22.147175,-100.974269,Restaurante Bar El Gallinero,Wine-Beer,section,informal,no_accessibility,high,familiar,closed,Bar
135073,22.147175,-100.974269,Restaurante Bar El Gallinero,Wine-Beer,section,informal,no_accessibility,high,familiar,closed,Bar_Pub_Brewery
135072,22.149192,-101.002936,Sushi Itto,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,closed,Japanese
135071,22.126375,-100.910926,Restaurante la Cantina,Full_Bar,section,informal,no_accessibility,medium,familiar,closed,Bar
135071,22.126375,-100.910926,Restaurante la Cantina,Full_Bar,section,informal,no_accessibility,medium,familiar,closed,Bar_Pub_Brewery
135069,22.140129,-100.944872,Abondance Restaurante Bar,Wine-Beer,none,informal,no_accessibility,low,familiar,closed,Bar
135060,22.156883,-100.978485,Restaurante Marisco Sam,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,closed,Seafood
135059,22.145108,-100.989547,Restaurant Bar Hacienda los Martinez,Wine-Beer,section,informal,no_accessibility,medium,familiar,closed,Bar
